Variable,RFImportance
108.78_107.0488m/z,0.0
63.22_107.0488m/z,0.0
398.51_107.0489m/z,0.0
305.35_107.0489m/z,2.608206389550079e-05
249.52_107.0487m/z,0.0
195.77_107.0488m/z,0.0
106.56_107.06m/z,0.0
93.57_107.0598m/z,0.0
87.25_107.0725m/z,0.0
53.71_107.0724m/z,0.0
445.8_107.0725m/z,0.0
257.7_107.0852m/z,0.0
333.76_107.0852m/z,0.0
283.27_107.0851m/z,0.0
317.56_107.0852m/z,0.0
110.46_107.0851m/z,0.0
171.77_107.0851m/z,0.0
177.59_108.0202m/z,3.890160183066362e-05
99.52_108.044m/z,0.0
74.7_108.0443m/z,0.0
57.39_108.044m/z,0.0
66.58_108.044m/z,0.00035784067106011145
206.38_108.0442m/z,0.0
195.59_108.0442m/z,0.0
184.15_108.0444m/z,1.1751802994523557e-05
117.27_108.0441m/z,0.0
234.41_108.0521m/z,0.0
259.31_108.0521m/z,0.0
106.74_108.0803m/z,3.6723957953321574e-05
53.82_108.0804m/z,7.552908041493391e-05
333.58_108.0882m/z,0.0
411.39_109.0103m/z,0.0
204.92_109.028m/z,0.0
115.87_109.028m/z,0.0
88.32_109.028m/z,8.485308769326843e-05
150.82_109.028m/z,0.0
47.52_109.0312m/z,0.0
71.74_109.0392m/z,0.0
39.36_109.039m/z,0.0
394.96_109.0445m/z,0.0
387.46_109.0445m/z,1.4240859044453631e-05
75.41_109.0505m/z,0.00016671485858467627
137.78_109.0516m/z,0.0
117.13_109.0519m/z,0.0
42.74_109.0517m/z,0.0
154.94_109.0518m/z,0.0
196.81_109.0518m/z,0.0
95.54_109.0518m/z,0.0
175.04_109.0518m/z,5.4955102040816326e-05
264.39_109.0644m/z,0.0001119686504104303
84.1_109.0644m/z,0.00012963765881242957
275.28_109.0645m/z,0.00010816657330649736
149.58_109.0645m/z,0.0
211.34_109.0644m/z,0.0
194.46_109.0645m/z,0.0
249.98_109.0645m/z,9.904293802666214e-06
44.85_109.0757m/z,0.0
60.35_109.0758m/z,0.0
69.86_109.0756m/z,0.0
86.24_109.0756m/z,0.0
53.86_109.0832m/z,0.0
285.24_109.1008m/z,1.1640056377354798e-05
333.58_109.1006m/z,0.0
190.65_109.1008m/z,1.4396872546895394e-05
387.62_109.1008m/z,0.0
267.42_109.1009m/z,0.0
174.51_109.1007m/z,0.0
204.92_110.0314m/z,0.0
122.16_110.0345m/z,0.0
80.1_110.0345m/z,0.00015384449704644292
73.16_110.0344m/z,0.0
143.43_110.0345m/z,0.0
111.93_110.0344m/z,0.0
134.56_110.0344m/z,5.3790465999463536e-05
235.0_110.0592m/z,0.0
42.71_110.0599m/z,0.0
95.36_110.0598m/z,0.0
101.97_110.0597m/z,0.0
81.65_110.0598m/z,0.0
72.95_110.0598m/z,0.0
188.06_110.0598m/z,0.0
54.15_110.0598m/z,0.0
117.14_110.0598m/z,0.0
137.27_110.0598m/z,0.0
163.29_110.0597m/z,0.0
154.91_110.0598m/z,0.0
235.65_110.06m/z,0.0
264.38_110.0677m/z,0.0
55.86_110.0706m/z,0.0007341865672598336
41.13_110.0706m/z,0.0
145.29_110.0707m/z,0.0
209.1_110.0707m/z,0.0
117.14_110.0892m/z,0.0
42.76_110.0904m/z,0.0
60.82_110.096m/z,0.0
174.55_110.0969m/z,0.0
42.72_110.141m/z,0.0
117.09_110.1407m/z,0.0
189.28_110.9895m/z,0.0
43.64_111.0059m/z,0.0
66.92_111.0073m/z,1.7949841068662043e-05
79.57_111.0073m/z,0.0
283.26_111.0073m/z,0.0
164.28_111.0073m/z,0.0
122.16_111.0374m/z,0.0
39.32_111.044m/z,0.0
151.22_111.0437m/z,0.0
166.97_111.0438m/z,0.0
176.29_111.0437m/z,6.145279137364597e-05
117.28_111.0431m/z,0.0
50.39_111.0438m/z,0.0
266.21_111.0438m/z,0.0
106.87_111.0437m/z,0.0
37.03_111.0552m/z,0.0
42.74_111.0627m/z,0.0
